ROADCODE,ROADNAME,HOUSE_NO,FACILITY,FAC_TYPE,WEBLINK,SUBTYPE,Latitude,Longitude
07700,77 AVENUE,13479,FASTRAK & Foundations Program,School,http://www.surreyconnect.sd36.bc.ca/Pages/Default.aspx,Administration,49.143014,-122.848498
05603,56 AVENUE,17857,Cloverdale Traditional,School,https://www.surreyschools.ca/schools/cloverdaletraditional/Pages/default.aspx,District Program School,49.104627,-122.728093
14000,140 STREET,9380,Simon Cunningham Elementary School,School,https://www.surreyschools.ca/schools/scunningham/Pages/default.aspx,Elementary,49.173074,-122.833664
09700,97 AVENUE,11665,Royal Heights Elementary School,School,https://www.surreyschools.ca/schools/royalheights/Pages/default.aspx,Elementary,49.179342,-122.899145
10600,106 AVENUE,13130,K.B. Woodward Elementary School,School,https://www.surreyschools.ca/schools/kbwoodward/Pages/default.aspx,Elementary,49.194587,-122.858939
10850,108A STREET,14835,Riverdale Elementary School,School,https://www.surreyschools.ca/schools/riverdale/Pages/default.aspx,Elementary,49.200672,-122.811156
15600,156 STREET,8131,Coyote Creek Elementary School,School,https://www.surreyschools.ca/schools/coyotecreek/Pages/default.aspx,Elementary,49.150220,-122.790961
10000,100 AVENUE,12405,Prince Charles Elementary School,School,https://www.surreyschools.ca/schools/princecharles/Pages/default.aspx,Elementary,49.185592,-122.877054
12400,124 STREET,7633,Strawberry Hill Elementary School,School,https://www.surreyschools.ca/schools/princecharles/Pages/default.aspx,Elementary,49.141635,-122.880082
15600,156 STREET,7940,Fleetwood Park Secondary School,School,https://www.surreyschools.ca/schools/fltsec/Pages/default.aspx,Secondary,49.147361,-122.789033
08400,84 AVENUE,14505,Enver Creek Secondary School,School,https://www.surreyschools.ca/schools/envercreek/Pages/default.aspx,Secondary,49.156517,-122.820759
02400,24 AVENUE,13484,Elgin Park Secondary School,School,https://www.surreyschools.ca/schools/elginpark/Pages/default.aspx,Secondary,49.044496,-122.848811
14400,144 STREET,6248,Sullivan Heights Secondary School,School,https://www.surreyschools.ca/schools/sullivanheights/Pages/default.aspx,Secondary,49.115757,-122.821920
12200,122 STREET,9484,L.A. Matheson Secondary School,School,https://www.surreyschools.ca/schools/lamath/Pages/default.aspx,Secondary,49.175454,-122.883639
01600,16 AVENUE,15751,Earl Marriott Secondary School,School,https://www.surreyschools.ca/schools/earlmarriott/Pages/default.aspx,Secondary,49.031935,-122.785834
06600,66 AVENUE,12600,Tamanawis Secondary School,School,https://www.surreyschools.ca/schools/tamanawis/Pages/default.aspx,Secondary,49.121842,-122.871363
09600,96 AVENUE,15945,North Surrey Secondary School,School,https://www.surreyschools.ca/schools/northsurreysecondary/Pages/default.aspx,Secondary,49.178165,-122.780458
14600,146 STREET,10707,Guildford Park Secondary School,School,https://www.surreyschools.ca/schools/guildfordpark/pages/default.aspx,Secondary,49.197056,-122.819354
18000,180 STREET,6151,Lord Tweedsmuir Secondary School,School,https://www.surreyschools.ca/schools/tweeds/Pages/default.aspx,Secondary,49.114504,-122.725060
10800,108 STREET,16060,Fraser Heights Secondary School,School,https://www.surreyschools.ca/schools/fraserheights/Pages/default.aspx,Secondary,49.197366,-122.776992
15200,152 STREET,1815,South Surrey RCMP District Office,RCMP,http://www.surreyrcmp.ca,,49.035286,-122.801522
01600,16 AVENUE,19198,Hazelmere Cemetery,Cemetery,http://www.surrey.ca/city-services/2244.aspx,,49.030786,-122.691904
13601,KING GEORGE BOULEVARD,9457,Queen Elizabeth Adult Education Centre ,School,https://www.surreyschools.ca/schools/queenelizabethadulted/Pages/default.aspx,Adult/Continuing Edu,49.174463,-122.847459
13601,KING GEORGE BOULEVARD,3050,White Rock Chrysler Ltd,Garbage and Recycling,http://www.haleydodge.ca/index.htm,Used Oil,49.058405,-122.808191
07600,76 AVENUE,12589,Serpentine Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2069.aspx,,49.141667,-122.873495
12163,MCBRIDE AVENUE,3136,Blackie Spit Dog Off-Leash Swimming Beach,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2201.aspx,,49.060272,-122.879947
10900,109 AVENUE,13104,City Central Learning Centre,School,https://www.surreyschools.ca/schools/citycentrallc/Pages/default.aspx,Elementary,49.200310,-122.858907
17600,176 STREET,6050,Exhibition Grounds Show Barn,Other,http://www.cloverdalerodeo.com/our-facilities/show-barn/,,49.116107,-122.729156
08800,88 AVENUE,19340,Port Kells Outdoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14048.aspx,,49.161201,-122.687066
08800,88 AVENUE,18918,Port Kells Community Hall,Community Hall/Centre,http://www.portkellscommunity.com/wp/,,49.162307,-122.698610
18800,184 STREET,7003,Clayton Heights Secondary School,School,https://www.surreyschools.ca/schools/clyhts/Pages/default.aspx,Secondary,49.128811,-122.703226
12200,122 STREET,7399,Strawberry Hill Library,Library,http://www.surreylibraries.ca/location-hours/4690.aspx,,49.137509,-122.885211
09900,99 STREET,15350,Johnston Heights Secondary School,School,https://www.surreyschools.ca/schools/johnht/Pages/default.aspx,Secondary,49.181905,-122.797815
10500,105 AVENUE,15105,Guildford Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/1876.aspx,,49.193898,-122.802168
15200,152 STREET,1815,Semiahmoo Library,Library,http://www.surreylibraries.ca/location-hours/4680.aspx,,49.034914,-122.801519
02780,BEECHER STREET,12160,Beecher Place,Community Hall/Centre,http://www.alexhouse.net/beecher-place,,49.051972,-122.884860
02000,20 AVENUE,14600,South Surrey Athletic Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2215.aspx,,49.040997,-122.818464
12800,128 STREET,7480,Dr. F.D. Sinclair Elementary School,School,https://www.surreyschools.ca/schools/drfdsinclair/Pages/default.aspx,Elementary,49.138682,-122.867325
14600,146 STREET,8226,Janice Churchill Elementary School,School,https://www.surreyschools.ca/schools/janicechurchill/Pages/default.aspx,Elementary,49.152672,-122.816030
08000,80 AVENUE,16450,William Watson Elementary School,School,https://www.surreyschools.ca/schools/williamwatson/Pages/default.aspx,Elementary,49.147350,-122.766123
06305,BOUNDARY DRIVE NORTH,12332,Boundary Park Elementary School,School,https://www.surreyschools.ca/schools/boundarypark/Pages/default.aspx,Elementary,49.116785,-122.880893
15650,156A STREET,3366,Morgan Elementary School,School,https://www.surreyschools.ca/schools/morgan/Pages/default.aspx,Elementary,49.062933,-122.787655
12250,122A STREET,8305,Kennedy Trail Elementary School,School,https://www.surreyschools.ca/schools/kennedytrail/Pages/default.aspx,Elementary,49.153891,-122.883621
12350,123A STREET,6505,Beaver Creek Elementary School,School,https://www.surreyschools.ca/schools/beavercreek/Pages/default.aspx,Elementary,49.121719,-122.881240
11050,110A AVENUE,14525,Ellendale Elementary School,School,https://www.surreyschools.ca/schools/ellendale/Pages/default.aspx,Elementary,49.203543,-122.819873
14800,148 STREET,7079,T.E. Scott Elementary School,School,https://www.surreyschools.ca/schools/tescott/Pages/default.aspx,Elementary,49.131408,-122.812677
13700,137 STREET,2575,Chantrell Creek Elementary School,School,https://www.surreyschools.ca/schools/chantrellcreek/Pages/default.aspx,Elementary,49.048434,-122.843225
08475,SPENSER DRIVE,14898,Maple Green Elementary School,School,https://www.surreyschools.ca/schools/maplegreen/Pages/default.aspx,Elementary,49.157017,-122.810017
15250,152A STREET,10215,Guildford Learning Centre,School,https://www.surreyschools.ca/schools/guildfordlearningcentre/Pages/default.aspx,Administration,49.188253,-122.799705
17600,176 STREET,5741,Cloverdale Learning Centre,School,https://www.surreyschools.ca/schools/cloverdalelc/Pages/default.aspx,Administration,49.106749,-122.735195
14000,140 STREET,9260,Surrey College,School,http://www.surreycollege.sd36.bc.ca/,Post-Secondary,49.171328,-122.832055
,72 AVENUE,12870,Newton Adult Education Centre ,School,https://www.surreyschools.ca/schools/newtonadulted/Pages/default.aspx,Adult/Continuing Edu,49.131645,-122.865184
14000,140 STREET,9750,Jim Pattison Outpatient Care & Surgery Centre,Hospital,http://www.fraserhealth.ca/about_us/building_for_better_health/jim_pattison_outpatient_care_and_surgery_centre/,,49.179507,-122.832998
13200,132 STREET,8767,Fire Hall #1 (SFD Admin.),Fire,http://www.surrey.ca/city-services/4696.aspx,,49.162252,-122.857546
12400,124 STREET,10677,Khalsa School Old Yale Campus,School,http://www.khalsaschoolcanada.com/default/index.php?pageType=locations,Private,49.196489,-122.878915
18000,180 STREET,5500,Kwantlen Polytechnic University Trade and Technology Centre,School,http://www.kpu.ca/tech,Post-Secondary,49.102708,-122.723013
13200,132 STREET,6887,Gabrielle Roy,School,http://gabrielleroy.csf.bc.ca/,Francophone,49.128442,-122.857964
06000,60 AVENUE,19233,Surrey Connect,School,http://www.surreyconnect.sd36.bc.ca/Pages/Default.aspx,Adult/Continuing Edu,49.112150,-122.689541
06400,64 AVENUE,14901,Fire Hall #9 & Training Centre,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.119595,-122.810027
14800,148 STREET,11113,Pilath Hall House,Community Hall/Centre,,,49.204469,-122.813232
10800,108 AVENUE,14586,Fire Hall #4,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.198407,-122.817904
14800,148 STREET,10275,Hjorth Road Outdoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14046.aspx,,49.189256,-122.812721
12400,56 AVENUE,15295,Roots and Wings Montessori,School,http://www.rootsandwingsbc.com,Private,49.105365,-122.798591
16995,ABERDEEN STREET,5880,Cloverdale Heights Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2176.aspx,,49.109174,-122.749864
06000,60 AVENUE,17905,Greenaway Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2164.aspx,,49.113097,-122.726164
15895,LILAC DRIVE,1761,Alderwood Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2191.aspx,,49.033858,-122.784214
13600,136 STREET,1782,Bell Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2180.aspx,,49.033685,-122.843196
14800,148 STREET,5424,Bob Rutledge Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2041.aspx,,49.101059,-122.810513
10400,104 AVENUE,14600,Whalley Reservoir Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2153.aspx,,49.192941,-122.817028
10400,104 AVENUE,13035,Royal Kwantlen Lacrosse Box,Lacrosse Box,http://www.surrey.ca/culture-recreation/2095.aspx,,49.192230,-122.862716
12800,128 STREET,2610,Crescent Tennis Courts (Lit),Tennis,http://www.surrey.ca/culture-recreation/2189.aspx,,49.047348,-122.864721
15000,150 STREET,2040,Meridian By The Sea Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2213.aspx,,49.039048,-122.806253
15000,150 STREET,10719,Holly Elementary School,School,https://www.surreyschools.ca/schools/holly/Pages/default.aspx,Elementary,49.197144,-122.807166
16400,164 STREET,10650,Fraser Wood Elementary School,School,https://www.surreyschools.ca/schools/fraserwood/Pages/default.aspx,Elementary,49.196125,-122.766589
13120,LARONDE DRIVE,1880,Laronde (French Immersion) Elementary School,School,https://www.surreyschools.ca/schools/laronde/Pages/default.aspx,Elementary,49.035680,-122.857164
15000,150 STREET,5900,Cambridge Elementary School,School,https://www.surreyschools.ca/schools/cambridge/Pages/default.aspx,Elementary,49.113813,-122.807403
12600,126 STREET,9341,Senator Reid Elementary School,School,https://www.surreyschools.ca/schools/senatorreid/Pages/default.aspx,Elementary,49.172603,-122.874278
06100,61 AVENUE,16545,A.J. McLellan Elementary School,School,https://www.surreyschools.ca/schools/ajmclellan/Pages/default.aspx,Elementary,49.113911,-122.763447
16200,160 STREET,8606,Frost Road Elementary School,School,https://www.surreyschools.ca/schools/frostroad/Pages/default.aspx,Elementary,49.159618,-122.771988
00800,8 AVENUE,18035,Hall's Prairie Elementary School,School,https://www.surreyschools.ca/schools/hallsprairie/Pages/default.aspx,Elementary,49.017332,-122.722981
09100,91 AVENUE,13838,Creekside Elementary School,School,https://www.surreyschools.ca/schools/creekside/Pages/default.aspx,Elementary,49.167561,-122.838931
06500,65 AVENUE,18599,Hillcrest Elementary School,School,https://www.surreyschools.ca/schools/hillcr/Pages/default.aspx,Elementary,49.121268,-122.706288
06000,60 AVENUE,18690,Sunrise Ridge Elementary School,School,https://www.surreyschools.ca/schools/sunriseridge/Pages/default.aspx,Elementary,49.110651,-122.704350
02600,26 AVENUE,17148,Pacific Heights Elementary School,School,https://www.surreyschools.ca/schools/pacificheights/Pages/default.aspx,Elementary,49.048584,-122.748522
13601,KING GEORGE BOULEVARD,7525,English Language Learner Welcome Centre,School,http://www.welcomecentre.sd36.bc.ca/,Programs and Services,49.139481,-122.846430
14800,148 STREET,10395,Guildford RCMP District Office,RCMP,http://www.surreyrcmp.ca,,49.191215,-122.812979
06800,68 AVENUE,13313,Unwin Lacrosse Box II,Lacrosse Box,http://www.surrey.ca/culture-recreation/2020.aspx,,49.128581,-122.852280
17600,176 STREET,10042,Fire Hall #5,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.184861,-122.733856
15200,152 STREET,9049,Fire Hall #6,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.167243,-122.801912
08800,88 AVENUE,18885,Port Kells Library,Library,http://www.surreylibraries.ca/location-hours/4688.aspx,,49.163068,-122.699652
10400,104 AVENUE,13079,Fire Hall #2,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.192001,-122.860261
08800,88 AVENUE,13750,Surrey Arts Centre & Gallery,Attraction,http://www.surrey.ca/culture-recreation/1619.aspx,,49.162345,-122.841894
08800,88 AVENUE,13820,Bear Creek Outdoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14025.aspx,,49.161136,-122.838823
13200,132 STREET,7278,Fire Hall #10,Fire,http://www.surrey.ca/city-services/4696.aspx,,49.135182,-122.855911
07000,70 AVENUE,13795,Newton Library,Library,http://www.surreylibraries.ca/location-hours/4670.aspx,,49.130311,-122.839663
07200,72 AVENUE,13742,Library Administration Office,Library,http://www.surreylibraries.ca/location-hours/4994.aspx,,49.132921,-122.841615
00920,92 AVENUE,14033,District Education Centre,School,https://www.surreyschools.ca/About/ContactUs/Pages/default.aspx,Administration,49.170681,-122.833107
14400,144 STREET,6700,Thomas G. Ellis Facilities Centre,School,https://www.surreyschools.ca/departments/FACL/Pages/default.aspx,Administration,49.124768,-122.822145
08800,88 AVENUE,12772,Invergarry Adult Education Centre,School,https://www.surreyschools.ca/schools/iaec/Pages/default.aspx,Administration,49.162160,-122.868811
08800,88 AVENUE,12772,Aboriginal Ed Continuance Hospital & Homebound Programs,School,https://www.surreyschools.ca/departments/EDSC/StudentSupport/HospitalHomebound/Pages/default.aspx,Programs and Services,49.161994,-122.868825
13200,132 AVENUE,7452,Parks & Recreation Annex Grounds,Municipal,http://www.surrey.ca,,49.138057,-122.856243
14250,142A STREET,8555,Brookside Elementary School,School,https://www.surreyschools.ca/schools/brookside/Pages/default.aspx,Elementary,49.158166,-122.828451
09700,97 AVENUE,13367,A.H.P. Matthew Elementary School,School,https://www.surreyschools.ca/schools/ahpmatthew/Pages/default.aspx,Elementary,49.179563,-122.853406
16850,168 STREET,8222,Coast Meridian Elementary School,School,https://www.surreyschools.ca/schools/coastmeridian/Pages/default.aspx,Elementary,49.152387,-122.754320
15400,154 STREET,2064,Jessie Lee Elementary School,School,https://www.surreyschools.ca/schools/jessie/Pages/default.aspx,Elementary,49.039627,-122.794624
14000,140 STREET,6677,Hyland Elementary School,School,https://www.surreyschools.ca/schools/hyland/Pages/default.aspx,Elementary,49.123731,-122.836102
06000,60 AVENUE,12530,J.T. Brown Elementary School,School,https://www.surreyschools.ca/schools/jtbrown/Pages/default.aspx,Elementary,49.111109,-122.875830
06150,61A AVENUE,17285,George Greenaway Elementary School,School,https://www.surreyschools.ca/schools/georgegreenaway/Pages/default.aspx,Elementary,49.114425,-122.743213
10050,100A AVENUE,14250,Lena Shaw Elementary School,School,https://www.surreyschools.ca/schools/lenashaw/Pages/default.aspx,Elementary,49.184688,-122.827528
17600,176 STREET,6090,Cloverdale Arena,Arena,http://www.surrey.ca/culture-recreation/5031.aspx,,49.113244,-122.733727
02600,26 AVENUE,15455,Sunnyside Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2194.aspx,,49.050580,-122.794986
13601,88 AVENUE,13750,Bear Creek Skate Park,Skate Park,http://www.surrey.ca/culture-recreation/2083.aspx,,49.156420,-122.845275
08800,88 AVENUE,13750,Bear Creek Water Park,Water Park,http://www.surrey.ca/culture-recreation/2083.aspx,,49.160417,-122.840578
06400,64 AVENUE,17848,Cloverdale Skate Park,Skate Park,http://www.surrey.ca/culture-recreation/2174.aspx,,49.118402,-122.728601
02000,20 AVENUE,14600,S. Surrey Athletic Skate Park,Skate Park,http://www.surrey.ca/culture-recreation/Sports.aspx,,49.038854,-122.818599
00101,FRASER HIGHWAY,16555,SSLC Skate Park,Skate Park,http://www.surrey.ca/culture-recreation/1888.aspx,,49.151994,-122.763952
14800,148 STREET,2199,South Surrey Athletic Water Park,Water Park,http://www.surrey.ca/culture-recreation/15217.aspx,,49.040516,-122.817179
14400,144 STREET,10503,Hawthorne Water Park,Water Park,http://www.surrey.ca/culture-recreation/15217.aspx,,49.193374,-122.824563
14800,148 STREET,10706,Holly Lacrosse Box,Lacrosse Box,http://www.surrey.ca/culture-recreation/2131.aspx,,49.197154,-122.809953
06800,68 AVENUE,13313,Unwin Water Park,Water Park,http://www.surrey.ca/culture-recreation/15217.aspx,,49.126703,-122.853399
06800,68 AVENUE,13313,Unwin Lacrosse Box I,Lacrosse Box,http://www.surrey.ca/culture-recreation/2020.aspx,,49.128039,-122.852525
16800,168 STREET,6330,Cloverdale Athletic Lacrosse Box,Lacrosse Box,http://www.surrey.ca/culture-recreation/2177.aspx,,49.116001,-122.754270
16800,168 STREET,6330,Cloverdale Water Park,Water Park,http://www.surrey.ca/culture-recreation/15217.aspx,,49.115815,-122.753282
07200, 72 AVENUE,18680,Hazelgrove Annex Elementary School,School,https://www.surreyschools.ca/schools/hazelgrove/Pages/default.aspx,Elementary,49.133125,-122.704911
11500,115 AVENUE,12560,Bridgeview Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2085.aspx,,49.210572,-122.871879
12040,HOLT (120 ST) ROAD,9058,Kennedy Tennis Courts (Lit),Tennis,http://www.surrey.ca/culture-recreation/2078.aspx,,49.167598,-122.886076
10000,100 AVENUE,12576,Robson Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2074.aspx,,49.184178,-122.872874
10400,104 AVENUE,13079,Royal Kwantlen Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2095.aspx,,49.192075,-122.861346
09600,96 AVENUE,13750,Adolescent Psychiatric Unit,School,https://www.surreyschools.ca/Lists/SD36.Intranet.Mobile.Connect-SchoolInfo/DispForm.aspx?ID=169&ContentTypeId=0x01008935B4D1A3A74123832C0CD477EA78DC008DCAAC7B16453A4B9F8E89C66C27E7FE,Programs and Services,49.176587,-122.841512
11500,126A STREET,11475,Bridgeview Water Park,Water Park,http://www.surrey.ca/culture-recreation/2085.aspx,,49.210112,-122.871322
08200,82 AVENUE,16152,Walnut Road Elementary School,School,https://www.surreyschools.ca/schools/walnutroad/Pages/default.aspx,Elementary,49.151224,-122.773797
09950,99A AVENUE,15550,William F. Davidson Elementary School,School,https://www.surreyschools.ca/schools/wfdavidson/Pages/default.aspx,Elementary,49.182775,-122.790855
09400,94 AVENUE,15372,Berkshire Park Elementary School,School,https://www.surreyschools.ca/schools/berkshirepark/Pages/default.aspx,Elementary,49.172833,-122.796825
,RUSSELL AVENUE,15521,Peace Arch Hospital,Hospital,http://www.fraserhealth.ca/find_us/locations/our_locations?site_id=1783,,49.030207,-122.792257
06000,60 AVENUE,17755,Fraser Downs Racetrack & Casino,Attraction,http://www.fraserdowns.com,,49.112181,-122.730674
14200,142 STREET,6325,McLeod Road Traditional Elementary School,School,https://www.surreyschools.ca/schools/mcleodroad/About/ContactInfo/Pages/default.aspx,Elementary,49.117763,-122.829380
14300,143 STREET,7318,M.B. Sanford Elementary School,School,https://www.surreyschools.ca/schools/sanford/Pages/default.aspx,Elementary,49.135786,-122.825344
05820,OLD MCLELLAN ROAD,16670,Surrey Centre Elementary School,School,https://www.surreyschools.ca/schools/surreycentre/Pages/default.aspx,Elementary,49.109820,-122.758722
10400,104 AVENUE,15670,Harold Bishop Elementary School,School,https://www.surreyschools.ca/schools/haroldbishop/Pages/default.aspx,Elementary,49.191127,-122.787414
18400,184 STREET,7541,Clayton Elementary School,School,https://www.surreyschools.ca/schools/clayton/Pages/default.aspx,Elementary,49.139439,-122.712857
16000,160 STREET,10929,Erma Stephenson Elementary School,School,https://www.surreyschools.ca/schools/ermastephenson/Pages/default.aspx,Elementary,49.201342,-122.779415
 ,"FIR STREET, WHITE ROCK",1273,White Rock Elementary School,School,https://www.surreyschools.ca/schools/whiterockelem/Pages/default.aspx,Elementary,49.025140,-122.799283
 ,"ROPER AVENUE, WHITE ROCK",15877,Peace Arch Elementary School,School,https://www.surreyschools.ca/schools/peacea/Pages/default.aspx,Elementary,49.026205,-122.783143
14800,148 STREET,2201,Softball City,Other Recreation,http://www.softballcity.bc.ca/,<Null>,49.043251,-122.815702
13601,KING GEORGE BOULEVARD,3487,Heritage Christian School,School,http://www.hcs-whiterock.ca,Private,49.064742,-122.818399
01550,15A AVE,12500,1001 Steps,Other Recreation,http://www.surrey.ca/culture-recreation/2181.aspx,,49.030565,-122.873600
09400,94 AVENUE,15372,Child Day Treatment Outreach Program,School,https://www.surreyschools.ca/Lists/SD36.Intranet.Mobile.Connect-SchoolInfo/DispForm.aspx?ID=170&ContentTypeId=0x01008935B4D1A3A74123832C0CD477EA78DC008DCAAC7B16453A4B9F8E89C66C27E7FE,Programs and Services,49.173026,-122.796815
07600,76 AVENUE,13479,KEY (Knowledge Education for Youth) program,School,https://www.surreyschools.ca/Lists/SD36.Intranet.Mobile.Connect-SchoolInfo/DispForm.aspx?ID=175,Programs and Services,49.141203,-122.849125
14600,146 STREET,10707,HOPE (Helping Others Provide Education) program,School,https://www.surreyschools.ca/schools/guildfordpark/About/ContactInfo/Pages/default.aspx,Programs and Services,49.197599,-122.818267
13601,KING GEORGE BOULEVARD,6840,LEE,School,http://www.options.bc.ca/youth-services/options-for-schools,Programs and Services,49.126934,-122.844501
13601,KING GEORGE BOULEVARD,6840,PLEA (Daughters and Sisters) and TREK programs,School,http://www.gofoundations.ca/contact,Programs and Services,49.126730,-122.844489
09600,96 AVENUE,16590,PLEA (Waypoint) program,School,http://redbookonline.bc211.ca/service/9508129_9508129/waypoint_program,Programs and Services,49.176690,-122.762284
10800,108 AVENUE,14727,LINKS program ,School,http://www.pcrs.ca/links,Programs and Services,49.199358,-122.814419
07600,76 AVENUE,13479,TREES program,School,http://www.pcrs.ca/trees,Programs and Services,49.141412,-122.849139
13502,CITY PARKWAY,10275,North Surrey Arena,Arena,http://www.surrey.ca/culture-recreation/1810.aspx,,49.189931,-122.848990
